Date,SB,Attendance,Winner,QB  Winner,Coach Winner,Winning Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference
1995-01-29,XXIX,74107,San Francisco 49ers,Steve Young,George Seifert,49,San Diego Chargers,Stan Humphreys,Bobby Ross,26,Steve Young,Joe Robbie Stadium,Miami Gardens,Florida,23
2006-02-05,XL,68206,Pittsburgh Steelers,Ben Roethlisberger,Bill Cowher,21,Seattle Seahawks,Matt Hasselbeck,Mike Holmgren,10,Hines Ward,Ford Field,Detroit,Michigan,11
1983-01-30,XVII,103667,Washington Redskins,Joe Theismann,Joe Gibbs,27,Miami Dolphins,David Woodley,Don Shula,17,John Riggins,Rose Bowl,Pasadena,California,10
1990-01-28,XXIV,72919,San Francisco 49ers,Joe Montana,George Seifert,55,Denver Broncos,John Elway,Dan Reeves,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45
1972-01-16,VI,81023,Dallas Cowboys,Roger Staubach,Tom Landry,24,Miami Dolphins,Bob Griese,Don Shula,3,Roger Staubach,Tulane Stadium,New Orleans,Louisiana,21
1992-01-26,XXVI,63130,Washington Redskins,Mark Rypien,Joe Gibbs,37,Buffalo Bills,Jim Kelly,Marv Levy,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,13
1997-01-26,XXXI,72301,Green Bay Packers,Brett Favre,Mike Holmgren,35,New England Patriots,Drew Bledsoe,Bill Parcells,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana,14
1977-01-09,XI,103438,Oakland Raiders,Kenny Stabler,John Madden,32,Minnesota Vikings,Fran Tarkenton,Bud Grant,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18
2004-02-01,XXXVIII,71525,New England Patriots,Tom Brady,Bill Belichick,32,Carolina Panthers,Jake Delhomme,John Fox,29,Tom Brady,Reliant Stadium,Houston,Texas,3
1976-01-18,X,80187,Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,21,Dallas Cowboys,Roger Staubach,Tom Landry,17,Lynn Swann,Orange Bowl,Miami,Florida,4
1973-01-14,VII,90182,Miami Dolphins,Bob Griese,Don Shula,14,Washington Redskins,Bill Kilmer,George Allen,7,Jake Scott,Memorial Coliseum,Los Angeles,California,7
2024-02-11,LVIII,61629,Kansas City Chiefs,Patrick Mahomes,Andy Reid,25,San Francisco 49ers,Jim Kelly,Kyle Shanahan,22,Patrick Mahomes, Allegiant  Stadium,Las Vegas,Nevada,3
2023-02-12,LVII,67827,Kansas City Chiefs,Patrick Mahomes,Andy Reid,38,Philadelphia Eagles,Jalen hurts,Nick Sirianni,35,Patrick Mahomes,State Farm Stadium,Glendale,Arizona,3
2022-02-13,LVI,70048,Los Angeles Rams,Matthew Stafford,Sean Mcvay,23,Cincinnati Bengals,Joe Burrow,Zac Taylor,20,Cooper kupp,SoFi Stadium,Inglewood,California,3
2021-02-07,LV,24835,Tampa Bay Buccaneers,Tom Brady,Bruce Arians,31,Kansas City Chiefs,Patrick Mahomes,Andy Reid,9,Tom Brady,Raymond James Stadium,Tampa,Florida,22
